Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;3;mar/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;5;mai/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;6;jun/08;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;8;ago/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;9;set/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;out/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;dez/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;1;jan/08;200
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;2;fev/08;207
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;3;mar/08;169
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;4;abr/08;240
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;5;mai/08;251
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;6;jun/08;210
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;7;jul/08;231
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;8;ago/08;213
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;9;set/08;190
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;out/08;248
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;nov/08;231
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;dez/08;181
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;1;jan/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;2;fev/08;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;3;mar/08;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;4;abr/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;5;mai/08;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;6;jun/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;7;jul/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;8;ago/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;9;set/08;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;out/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;11;nov/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;dez/08;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;1;jan/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;3;mar/08;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;1;jan/08;12
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;2;fev/08;8
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;3;mar/08;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;4;abr/08;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;5;mai/08;10
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;6;jun/08;10
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;7;jul/08;17
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;8;ago/08;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;9;set/08;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;10;out/08;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;11;nov/08;20
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;12;dez/08;12
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);2;fev/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);5;mai/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);10;out/08;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);12;dez/08;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;1;jan/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;3;mar/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;5;mai/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;6;jun/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;7;jul/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;9;set/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;10;out/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;1;jan/08;36
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;2;fev/08;28
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;3;mar/08;31
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;4;abr/08;36
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;5;mai/08;32
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;6;jun/08;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;7;jul/08;40
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;8;ago/08;44
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;9;set/08;45
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;10;out/08;51
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;11;nov/08;63
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;12;dez/08;36
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;1;jan/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;2;fev/08;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;3;mar/08;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;5;mai/08;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;6;jun/08;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;7;jul/08;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;8;ago/08;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;9;set/08;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;10;out/08;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;11;nov/08;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;12;dez/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Lesão corporal seguida de morte;12;dez/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;1;jan/08;10
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;2;fev/08;8
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;3;mar/08;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;4;abr/08;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;5;mai/08;14
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;6;jun/08;12
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;7;jul/08;18
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;8;ago/08;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;9;set/08;9
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;10;out/08;10
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;11;nov/08;10
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;12;dez/08;13
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo seguido de morte (latrocínio);6;jun/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo seguido de morte (latrocínio);8;ago/08;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo seguido de morte (latrocínio);11;nov/08;2
