11,70;33088,00
12,00;35278,00
12,80;35552,00
13,10;35155,00
12,20;35606,00
11,70;35258,00
11,20;34628,00
11,40;32910,00
10,90;32323,00
10,50;34717,00
10,70;35820,00
9,60;32329,00
10,20;36075,00
10,70;37415,00
10,80;35801,00
10,80;36286,00
10,20;35898,00
9,40;36284,00
9,40;35740,00
9,40;36992,00
9,60;35184,00
9,60;31665,00
9,60;34636,00
8,40;36780,00
9,30;34728,00
10,10;33398,00
10,40;37154,00
10,40;35694,00
10,20;35342,00
10,40;35459,00
10,70;35633,00
10,60;35979,00
10,00;36277,00
9,80;34591,00
9,50;30358,00
8,40;34325,00
9,30;39985,00
9,90;35799,00
10,20;40741,00
10,20;38100,00
10,20;39431,00
9,70;37387,00
9,50;36637,00
9,50;38674,00
9,00;35222,00
8,70;35077,00
8,20;32255,00
7,40;36857,00
8,00;33176,00
8,70;32498,00
8,60;31733,00
8,50;32668,00
7,90;31861,00
7,80;33674,00
8,10;30987,00
7,60;31570,00
7,70;30223,00
7,50;32663,00
7,60;32140,00
6,80;32616,00
8,20;35213,00
8,50;32862,00
9,00;35894,00
8,90;33846,00
8,80;35331,00
8,10;34038,00
8,00;33608,00
8,10;34784,00
7,70;33650,00
7,50;34824,00
7,30;32250,00
6,80;32214,00
7,20;35024,00
7,40;18140,00
7,60;21876,00
7,30;20425,00
7,40;19410,00
7,00;19068,00
6,90;19453,00
6,70;19350,00
6,20;17684,00
6,00;35290,00
5,70;34449,00
5,30;35413,00
6,00;36450,00
6,30;35496,00
6,40;39651,00
6,40;34816,00
6,30;37336,00
6,20;36287,00
6,00;36442,00
6,00;37272,00
6,00;37034,00
5,70;37780,00
5,20;37713,00
4,70;34131,00
5,50;53306,00
5,70;39222,00
6,20;42940,00
6,00;40440,00
5,80;42034,00
5,90;37280,00
5,40;38721,00
5,30;39884,00
5,40;38093,00
5,30;40091,00
4,90;39445,00
4,60;40131,00
5,50;52314,00
5,60;42698,00
5,70;48791,00
5,80;47636,00
5,80;45859,00
6,00;46819,00
5,60;44128,00
5,30;45858,00
5,40;43803,00
5,20;45825,00
4,60;45463,00
4,30;45484,00
4,80;46173,00
5,10;44569,00
5,00;45696,00
4,80;45356,00
4,90;44573,00
4,80;41170,00
4,90;40585,00
5,00;41222,00
4,80;41283,00
4,60;42565,00
4,80;41808,00
4,30;40228,00
5,30;51022,00
5,80;44326,00
6,10;49302,00
6,40;48340,00
6,70;47781,00
6,90;42740,00
7,50;46604,00
7,50;48359,00
7,50;46944,00
7,80;47954,00
7,50;49596,00
6,90;47624,00
