Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;1;jan/04;1
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;3;mar/04;2
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;5;mai/04;4
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;6;jun/04;2
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;7;jul/04;1
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;8;ago/04;1
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;9;set/04;1
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Estupro;11;nov/04;3
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;1;jan/04;20
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;2;fev/04;4
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;4;abr/04;5
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;5;mai/04;3
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;7;jul/04;10
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;8;ago/04;6
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;9;set/04;3
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;10;out/04;10
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;11;nov/04;9
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Furto de ve¡culo;12;dez/04;11
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;1;jan/04;5
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;2;fev/04;3
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;3;mar/04;3
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;4;abr/04;2
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;5;mai/04;1
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;6;jun/04;3
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;7;jul/04;1
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;8;ago/04;2
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;10;out/04;4
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Homic¡dio doloso;11;nov/04;5
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Roubo de ve¡culo;2;fev/04;4
SUDESTE;ES;Esp¡rito Santo;3201209;Cachoeiro De Itapemirim;Roubo de ve¡culo;12;dez/04;2
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;1;jan/04;39
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;2;fev/04;31
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;3;mar/04;25
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;4;abr/04;26
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;5;mai/04;25
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;6;jun/04;20
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;7;jul/04;21
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;8;ago/04;22
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;9;set/04;37
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;10;out/04;31
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;11;nov/04;23
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Homic¡dio doloso;12;dez/04;31
SUDESTE;ES;Esp¡rito Santo;3201308;Cariacica;Roubo seguido de morte (latroc¡nio);10;out/04;1
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Estupro;5;mai/04;1
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Estupro;6;jun/04;1
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;1;jan/04;10
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;3;mar/04;16
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;6;jun/04;4
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;7;jul/04;7
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;8;ago/04;9
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;9;set/04;6
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;10;out/04;14
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Furto de ve¡culo;12;dez/04;4
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Homic¡dio doloso;1;jan/04;4
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Homic¡dio doloso;3;mar/04;2
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Homic¡dio doloso;4;abr/04;1
SUDESTE;ES;Esp¡rito Santo;3201506;Colatina;Homic¡dio doloso;5;mai/04;3
