Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;1;jan/11;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;2;fev/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;3;mar/11;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;4;abr/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;5;mai/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;6;jun/11;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;7;jul/11;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;8;ago/11;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;9;set/11;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;out/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;nov/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;dez/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;1;jan/11;95
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;2;fev/11;106
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;3;mar/11;104
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;4;abr/11;107
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;5;mai/11;144
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;6;jun/11;147
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;7;jul/11;147
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;8;ago/11;91
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;9;set/11;94
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;out/11;67
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;nov/11;72
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;dez/11;107
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;2;fev/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;3;mar/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;4;abr/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;5;mai/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;8;ago/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;9;set/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;out/11;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;11;nov/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;dez/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Lesão corporal seguida de morte;1;jan/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;1;jan/11;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;2;fev/11;12
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;3;mar/11;17
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;4;abr/11;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;5;mai/11;19
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;6;jun/11;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;7;jul/11;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;8;ago/11;22
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;9;set/11;17
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;10;out/11;25
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;11;nov/11;23
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;12;dez/11;24
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);1;jan/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);2;fev/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);3;mar/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);6;jun/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);7;jul/11;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);11;nov/11;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;1;jan/11;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;2;fev/11;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;3;mar/11;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;4;abr/11;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;5;mai/11;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;6;jun/11;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;7;jul/11;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;8;ago/11;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;9;set/11;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;10;out/11;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;11;nov/11;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;12;dez/11;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;1;jan/11;30
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;2;fev/11;12
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;3;mar/11;24
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;4;abr/11;10
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;5;mai/11;34
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;6;jun/11;43
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;7;jul/11;43
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;8;ago/11;34
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;9;set/11;43
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;10;out/11;72
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;11;nov/11;52
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;12;dez/11;52
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;1;jan/11;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;2;fev/11;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;3;mar/11;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;4;abr/11;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;5;mai/11;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;6;jun/11;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;7;jul/11;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;8;ago/11;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;9;set/11;5
