Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;1;jan/14;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;2;fev/14;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;3;mar/14;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;4;abr/14;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;5;mai/14;8
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;6;jun/14;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;7;jul/14;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;8;ago/14;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;9;set/14;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;out/14;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;nov/14;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;dez/14;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;1;jan/14;154
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;2;fev/14;120
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;3;mar/14;112
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;4;abr/14;129
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;5;mai/14;122
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;6;jun/14;96
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;7;jul/14;141
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;8;ago/14;119
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;9;set/14;130
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;out/14;152
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;nov/14;119
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;dez/14;106
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;1;jan/14;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;2;fev/14;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;3;mar/14;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;6;jun/14;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;7;jul/14;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;8;ago/14;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;9;set/14;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;out/14;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;dez/14;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;1;jan/14;57
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;2;fev/14;55
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;3;mar/14;63
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;4;abr/14;42
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;5;mai/14;25
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;6;jun/14;17
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;7;jul/14;18
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;8;ago/14;34
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;9;set/14;35
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;10;out/14;28
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;11;nov/14;34
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;12;dez/14;23
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);1;jan/14;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);3;mar/14;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo seguido de morte (latrocínio);5;mai/14;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;1;jan/14;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;2;fev/14;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;3;mar/14;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;4;abr/14;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;5;mai/14;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;6;jun/14;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;7;jul/14;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;8;ago/14;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;9;set/14;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;10;out/14;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;11;nov/14;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Estupro;12;dez/14;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;1;jan/14;32
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;2;fev/14;25
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;3;mar/14;36
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;4;abr/14;38
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;5;mai/14;45
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;6;jun/14;35
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;7;jul/14;17
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;8;ago/14;32
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;9;set/14;48
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;10;out/14;33
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;11;nov/14;28
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Furto de veículo;12;dez/14;33
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;1;jan/14;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;2;fev/14;1
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;3;mar/14;5
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;4;abr/14;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;5;mai/14;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;6;jun/14;7
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;7;jul/14;8
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;8;ago/14;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;9;set/14;4
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;10;out/14;3
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;11;nov/14;6
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Homicídio doloso;12;dez/14;2
CENTRO-OESTE;DF;Distrito Federal;530010802;Gama;Roubo de veículo;1;jan/14;33
