Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;1;jan/09;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;2;fev/09;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;3;mar/09;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;4;abr/09;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;5;mai/09;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;6;jun/09;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;7;jul/09;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;8;ago/09;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;9;set/09;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;out/09;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;nov/09;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;dez/09;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;1;jan/09;179
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;2;fev/09;159
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;3;mar/09;218
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;4;abr/09;202
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;5;mai/09;183
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;6;jun/09;191
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;7;jul/09;188
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;8;ago/09;210
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;9;set/09;175
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;out/09;174
