Região;Sigla UF;UF;Código IBGE Município;Município;Tipo Crime;Mês;Mês/Ano;PC-Qtde Ocorrências
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;1;jan/13;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;2;fev/13;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;3;mar/13;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;4;abr/13;6
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;5;mai/13;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;6;jun/13;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;7;jul/13;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;8;ago/13;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;9;set/13;5
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;10;out/13;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;11;nov/13;9
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Estupro;12;dez/13;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;1;jan/13;160
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;2;fev/13;112
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;3;mar/13;115
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;4;abr/13;113
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;5;mai/13;109
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;6;jun/13;88
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;8;ago/13;112
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;9;set/13;119
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;10;out/13;126
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;11;nov/13;118
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Furto de veículo;12;dez/13;149
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;1;jan/13;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;3;mar/13;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;4;abr/13;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;5;mai/13;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;6;jun/13;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;8;ago/13;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;9;set/13;2
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;10;out/13;1
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;11;nov/13;3
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Homicídio doloso;12;dez/13;4
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;1;jan/13;40
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;2;fev/13;31
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;3;mar/13;18
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;4;abr/13;14
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;5;mai/13;19
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;6;jun/13;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;7;jul/13;15
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;8;ago/13;23
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;9;set/13;19
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;10;out/13;21
CENTRO-OESTE;DF;Distrito Federal;530010801;Brasília;Roubo de veículo;11;nov/13;34
